Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TBBAV,TBQAV,Ignore
2024-11-15 01:00:00,88218.22,88242.43,87073.38,87454.57,2138.56254,2024-11-15 01:59:59.999,187248996.4829634,254005.0,980.48428,85833264.5536159,0.0
2024-11-15 02:00:00,87454.58,87860.46,87276.01,87724.0,1229.77864,2024-11-15 02:59:59.999,107769072.2781571,232091.0,625.48791,54817218.1507906,0.0
2024-11-15 03:00:00,87724.0,88182.69,87584.2,88182.67,1425.90985,2024-11-15 03:59:59.999,125386775.2867111,191716.0,805.46197,70838756.5069209,0.0
2024-11-15 04:00:00,88182.68,88391.99,87588.0,87612.0,2089.72502,2024-11-15 04:59:59.999,183843850.7301043,175532.0,837.76668,73735954.9949443,0.0
2024-11-15 05:00:00,87612.01,88165.91,87368.0,88082.96,1347.90092,2024-11-15 05:59:59.999,118326835.9975571,210051.0,731.32744,64194787.0985924,0.0
2024-11-15 06:00:00,88082.96,89350.0,88024.4,89195.99,2296.3023,2024-11-15 06:59:59.999,204133633.7250788,475869.0,1308.14825,116267601.200709,0.0
2024-11-15 07:00:00,89195.99,89458.13,88943.53,89354.55,1429.92991,2024-11-15 07:59:59.999,127564795.6510379,290834.0,785.93015,70115690.149156,0.0
2024-11-15 08:00:00,89354.54,89771.99,89138.94,89741.25,1566.32537,2024-11-15 08:59:59.999,140100013.9255989,226403.0,908.97522,81319082.6489518,0.0
2024-11-15 09:00:00,89741.24,90709.74,89591.55,89753.84,2627.03494,2024-11-15 09:59:59.999,236722584.3455581,472084.0,1402.64626,126410198.0381578,0.0
2024-11-15 10:00:00,89753.84,90482.3,89241.57,90148.0,1904.87357,2024-11-15 10:59:59.999,171192792.5065208,435272.0,1047.95059,94218244.5877182,0.0
2024-11-15 11:00:00,90148.0,90200.0,88585.33,89107.98,3372.88896,2024-11-15 11:59:59.999,301342871.0005034,685493.0,1567.89891,140076612.766697,0.0
2024-11-15 12:00:00,89107.97,89134.74,87754.45,88445.41,3999.02812,2024-11-15 12:59:59.999,353189813.2967352,746233.0,2027.05595,179019324.0065664,0.0
2024-11-15 13:00:00,88445.4,89768.41,88386.99,89375.99,2745.84242,2024-11-15 13:59:59.999,244965452.775073,503264.0,1448.07132,129176715.777155,0.0
2024-11-15 14:00:00,89376.0,89944.0,89191.47,89484.85,1835.70209,2024-11-15 14:59:59.999,164451697.4307974,325539.0,964.01489,86379465.0529606,0.0
2024-11-15 15:00:00,89484.84,89810.0,89214.55,89387.99,1353.64414,2024-11-15 15:59:59.999,121246768.1541688,297961.0,682.60441,61144011.048934,0.0
2024-11-15 16:00:00,89388.0,90844.9,89260.0,90377.89,2737.65262,2024-11-15 16:59:59.999,246934415.9993161,330918.0,1429.98039,129040570.1929143,0.0
